經營業者,聯絡人,產品類別,產品名稱,所在縣市,標章資訊,電話,EMAIL
潘朝日畜牧場,潘朝日,畜牧,肉鴨,花蓮縣,產銷履歷,03-8842388,arlslan.hu@msa.hinet.net
潘莆山牧場,潘莆山,畜牧,肉鴨,花蓮縣,產銷履歷,03-8842388,arlslan.hu@msa.hinet.net
牧大畜牧場,黃維儀,畜牧,雞蛋,臺南市,產銷履歷,06-6623768,mdfarmy@yahoo.com.tw
牧大畜牧場第三分場,洪鵬達,畜牧,雞蛋,臺南市,產銷履歷,06-6623768,poultry@ms.naif.org.tw
牧大畜牧場第二分場,黃維儀,畜牧,雞蛋,臺南市,產銷履歷,06-6623768,mdfarmy@yahoo.com.tw
王培元畜牧場,王培元,畜牧,牛肉,屏東縣,產銷履歷,08-7072917,cjl@soon.tingshin.com.tw
王献明畜牧場>,王献明,畜牧,土雞,嘉義縣,產銷履歷,0910-849808,poultry@ms.naif.org.tw
珍億畜牧場,陳贊立,畜牧,土雞,臺南市,產銷履歷,06-2622033,andy19720822@yahoo.com.tw
瑞成畜牧場,蘇雲籠,畜牧,土雞,雲林縣,產銷履歷,05-7882141,amylai@tpe.hyweb.com.tw
瑞清牧場,方瑞清,畜牧,一般肉豬,臺東縣,產銷履歷,089-811282,fangjuiching@yahoo.com.tw
新良金牧場,薛承琛,畜牧,牛肉,金門縣,產銷履歷,0823-35886,kin.standar@msa.hinet.net
明圃畜牧場,楊芳蘭,畜牧,一般肉豬,嘉義縣,產銷履歷,05-3750238,yaw_hung118@yahoo.com.tw
昭螢牧場,李昭螢,畜牧,鴨蛋,屏東縣,產銷履歷,088681268,egg.a939@msa.com.tw
東峰股份有限公司,曾俊銘,畜牧,"冷藏雞肉,冷凍雞肉,冷藏雞肉",雲林縣,CAS,05-5570757,
東聯畜牧場,邱惠貞,畜牧,一般肉豬,雲林縣,產銷履歷,049-2568339,linsun@exceland.com.tw
格全食品工業股份有限公司花蓮分公司,潘朝日,畜牧,肉鴨,花蓮縣,產銷履歷,03-8842385~9,arlslan.hu@msa.hinet.net
格全食品工業股份有限公司花蓮分公司,潘朝日,畜牧,冷凍鴨肉,花蓮縣,CAS,03-8842388,
楊鎵燡畜牧場,楊鎵燡,畜牧,牛肉,嘉義縣,產銷履歷,05-3623520,heng.jieng@msa.hinet.net
楊鎵燡畜牧場一場,楊鎵燡,畜牧,牛肉,嘉義縣,產銷履歷,05-370-3289,heng.jieng@msa.hinet.net
標裕牧場,魏趨鼎,畜牧,土雞,苗栗縣,產銷履歷,0910-493934,ccsyjl@ms.naif.org.tw
歐金珠牧場,歐金珠,畜牧,鴨蛋,屏東縣,產銷履歷,08-7772725,aileen@fsi-intl.com.tw
永成蛋品股份有限公司,謝孟璋,畜牧,"鮮多力冷藏液全蛋,鮮多力冷藏液蛋白,鮮多力冷藏液蛋黃,鮮多力冷凍液全蛋",新北市,CAS,02-26033201,
永清祥牧場,呂紹青,畜牧,一般肉豬,臺東縣,產銷履歷,089-812282,no@nomail.com
永順興牧場,顏瑞坤,畜牧,"順興蛋,順興紅蛋,精力鮮蛋,優鮮蛋,健康白殼蛋,健康紅殼蛋,源牧鮮蛋",臺南市,CAS,06-6982773,
永順興牧場,顏瑞坤,畜牧,雞蛋,臺南市,產銷履歷,06-6982773,hsia1225@ms37.hinet.net
沅泰食品有限公司,藍榮富,畜牧,"冷藏雞肉(白肉雞及土雞),冷凍雞肉",高雄市,CAS,07-8135900,
泰安食品股份有限公司,朱榮一,畜牧,"冷藏豬肉,冷凍豬肉,冷藏雞肉(指白色肉雞),冷凍雞肉(指白色肉雞),紹興香腸,培根,德式香腸",高雄市,CAS,07-7883456,
泰安食品股份有限公司,朱榮一,畜牧,一般肉豬,高雄市,產銷履歷,07-7883456#601,1992001@taian-fd.com.tw
泰山企業股份有限公司畜牧場,蘇和梗,畜牧,一般肉豬,彰化縣,產銷履歷,04-8882300,hks@taisun.com.tw
津谷食品股份有限公司埤頭廠,張吉銓,畜牧,"冷凍豬肉,極品香腸,煙燻培根,西式火腿,極品香腸片,西式火腿丁,士林大香腸,冷藏豬肉",彰化縣,CAS,04-8929939,
家福股份有限公司成功分店,康柏德,畜牧,冷藏豬肉(白毛豬）,高雄市,CAS,(07)536-9828,
家福股份有限公司文心分店,康柏德,畜牧,冷藏豬肉(白毛豬）,臺中市,CAS,(04)2254-3355,
家福股份有限公司樹林分店,康柏德,畜牧,冷藏豬肉(白毛豬）,新北市,CAS,(02)2681-0000,
家福股份有限公司經國分店,康柏德,畜牧,冷藏豬肉(白毛豬）,桃園市,CAS,(03)316-0676,
家福股份有限公司花蓮分店,康柏德,畜牧,冷藏豬肉(白毛豬）,花蓮縣,CAS,(03)826-7979,
富源畜牧場一場,韓家宇,畜牧,"大成福蛋,大成鮮蛋",嘉義縣,CAS,05-3416028,
富源畜牧場一場,韓家宇,畜牧,雞蛋,嘉義縣,產銷履歷,05-3416028,fishwei@ms.greatwall.com.tw
